ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601331008-34;Casa ;Parque Fernanda ;Amleto Marchi, 114;x;133;3;1;2;1982;Maravilhosa casa no Jardim Fernanda ;R$ 0,00;R$ 619,00;R$ 495.000,00;R$ 3.721,80;https://drive.google.com/drive/folders/1_sjYUt9TGnVN2pD_5NrsTKJoys3pAqc_
601181054-82;Palmer ;Jardim - Santo André/São Paulo ;Palmeiras, 683;21;153;3;3;3;2022;Maravilhoso apartamento no Jardim - Santo André / SP;R$ 2.161,00;R$ 3.740,00;R$ 2.098.000,00;R$ 13.712,42;https://drive.google.com/drive/folders/1dKkPbhUiG0DnSoikaDm0zjqdl1-xUosC
601251010-404;Win;Alto da Boa Vista ;Conde de Itu, 120 ;2107;45;1;0;1;2014;Ótimo apartamento no Alto da Boa Vista ;R$ 552,00;R$ 107,00;R$ 549.000,00;R$ 12.200,00;https://drive.google.com/drive/folders/11Z7l8xyV_t4_Y0ELsFGgJ4RbBidar5-w
601251070-47;Palácio dos Jardins ;Jardim Paulista ;Jaú, 731 ;41;141;3;1;1;1972;Maravilhoso apartamento no Jardim Paulista ;R$ 2.160,00;R$ 7.020,00;R$ 2.350.000,00;R$ 16.666,67;https://drive.google.com/drive/folders/17dxSvmiSAXnqx6iogcPplpziO_zvaiQT
601181054-59;João Teixeira ;Pinheiros ;Navarro de Andrade, 20;82;137;3;1;1;1993;Maravilhoso apartamento em Pinheiros ;R$ 978,00;R$ 4.205,00;R$ 1.480.000,00;R$ 10.802,92;https://drive.google.com/drive/folders/1yZxc3avZy4d9pyJWeJWfa75Mjezy6e8d
602011004-105;Casa/sobrado ;Vila Santa Catarina ;Nelson Washington Pereira, 390;x;104;3;1;2;1976;Maravilhoso sobrado na Vila Santa Catarina ;R$ 0,00;R$ 1.150,00;R$ 550.000,00;R$ 5.288,46;https://drive.google.com/drive/folders/1i-MhPkeBFkt3TkYp5hyU-HJrkDvhmkIg
601181003-116;Lind;Perdizes ;Itapicuru, 422;111;312;4;2;1;1974;Maravilhoso apartamento em Perdizes ;R$ 5.500,00;R$ 15.936,00;R$ 2.299.000,00;R$ 7.368,59;https://drive.google.com/drive/folders/12icpevjD3baA39EPCz84Neftcxb1F6WB
601251257-8;Grand Vitrali ;Moema ;Jamaris, 407;1405;25;1;1;0;2024;Ótimo estúdio em Moema ;R$ 375,00;R$ 3.750,00;R$ 475.000,00;R$ 19.000,00;https://drive.google.com/drive/folders/1ndqjHNSkn4H_jaL-hDgu7BJs7sfLw7GE
601251165-161;Maria Beatriz ;Aclimação;Castro Alves, 631;11;241;3;3;3;1981;Maravilhoso apartamento na Aclimação ;R$ 17.600,00;R$ 3.900,00;R$ 1.349.000,00;R$ 5.597,51;https://drive.google.com/drive/folders/1dwHG9ZVmshdh7hkuTSU2kCkxBgj-nXgs
 601251099-170;Casa/sobrado;Moema;Doutor José Cândido de Souza, 532;x;209;5;1;2;1970;Maravilhosa casa/sobrado em Moema ;R$ 0,00;R$ 13.749,00;R$ 2.300.000,00;R$ 11.004,78;https://drive.google.com/drive/folders/1nfOFK52Fflv4ym1K27tbcBw5IVIHeznk
601251261-60;Centro Médico das Aroeiras;Bela Vista ;Dona Adma Jafet, 74;Cj 75;52;0;0;2;;Ótimo conjunto comercial na Bela Vista ;R$ 1.296,00;R$ 760,91;R$ 1.500.000,00;R$ 28.846,15;https://drive.google.com/drive/folders/1pcEWG4Ae9UBIWZnJ3lYED9smZ9QbCmEv
601251048-122;Maria de Lourdes ;Jardim Paulista ;Pamplona, 163;102;176;3;1;2;1973;Maravilhoso apartamento no Jardim Paulista ;R$ 2.195,91;R$ 6.480,00;R$ 1.960.000,00;R$ 11.136,36;https://drive.google.com/drive/folders/11QujID_HGAC6u52Ac1uHKLvifjEHwpiO
601251043-84;Sylvia;Bela Vista ;Rua Sílvia, 301;A;82;3;0;1;1970;Ótimo apartamento na Bela Vista ;R$ 814,00;R$ 1.684,00;R$ 840.000,00;R$ 10.243,90;https://drive.google.com/drive/folders/1dFQiDdWpwYuBa5nzFq_umKxBW1eiBS_V
601251048-123;Club Moema ;Moema ;Jamaris, 64;92 A;104;3;1;3;2003;Ótimo apartamento em Moema ;R$ 1.600,00;R$ 650,00;R$ 2.190.000,00;R$ 21.057,69;https://drive.google.com/drive/folders/1d76AS1sCadpJFc8UTy2LjNIA85fc5FHF
601181047-18; Pacaembu Center Bureau;Santa Cecília;Tupi, 397;73;40;0;0;1;;Ótimo conjunto comercial/sala na Santa Cecília ;R$ 1.220,00;R$ 3.945,00;R$ 320.000,00;R$ 8.000,00;https://drive.google.com/drive/folders/1yCm4WxCWqqzcZFjgdlNE3FuAc7k6e6IV
601181047-55; Grand Metrpolitan Butanta Residencial;Butantã ;Sapetuba, 430 ;258;73;2;1;1;2024;Ótimo apartamento no Butantã ;R$ 687,00;R$ 627,00;R$ 955.000,00;R$ 13.082,19;https://drive.google.com/drive/folders/1fcR7eWfN5u63EFZWZ0gZpf21M56_Cqox
601251165-73;Casablanca;Ipiranga ;Doutor Elisio de Castro, 467;32;89;3;1;2;1996;Ótimo apartamento no Ipiranga ;R$ 1.501,00;R$ 3.714,00;R$ 749.000,00;R$ 8.415,73;https://drive.google.com/drive/folders/1k1zXQH_4S1Mvr9IN2U-BakRRUypBxo6w
601181054-81;Residencial Maravilha ;Jardim das Maravilhas - Santo André/SP;Potomaque, 284;3;67;2;0;1;2016;Ótimo apartamento no Jardim das Maravilhas - Santo André/SP ;R$ 120,00;R$ 0,00;R$ 318.000,00;R$ 4.746,27;https://drive.google.com/drive/folders/1--Odjf5xiEewzwTc1No9HSbFkt_2Dt05
601251099-190;Maison Tourraine Loire;Moema ;Arapanés, 725;111;82;3;0;1;1977;Ótimo apartamento em Moema ;R$ 1.193,00;R$ 1,00;R$ 990.000,00;R$ 12.073,17;https://drive.google.com/drive/folders/19wj_NOftUA6sS2zGGhFlKEjpxEsZlHM6
601351163-57;Villagio Ipiranga ;Ipiranga;Santa Áurea, 253;101;56;2;1;2;2018;Ótimo apartamento no Ipiranga ;R$ 950,00;R$ 2.850,00;R$ 560.000,00;R$ 10.000,00;https://drive.google.com/drive/folders/1-OaUQWUbwJ8S5jYCyA1sDQGTndEqeYOv
601351152-63;Good Times ;Vila Clementino ;Doutor Diogo de Faria, 513;153;186;3;1;2;1990;Maravilhosa cobertura na Vila Clementino ;R$ 2.269,00;R$ 8.713,00;R$ 1.870.000,00;R$ 10.053,76;https://drive.google.com/drive/folders/1v1FrAvIdeQkSY2gAyMFnz76dvzespxhr
601251044-45;Casa ;Bopiranga - Itanhaém ;Estados Unidos, 895;x;80;2;2;2;2025;Maravilhosa casa em Bopiranga - Itanhaém  ;R$ 0,00;R$ 1.281,00;R$ 429.000,00;R$ 5.362,50;https://drive.google.com/drive/folders/1KRaesAlH4tRsjWXVm-KyZn6gwlJ9-evk
601181054-83;Solar das Perdizes ;Sumaré ;Herculano, 374;63;89;2;1;4;2005;Ótimo apartamento no Sumaré ;R$ 2.272,00;R$ 6.323,00;R$ 1.197.000,00;R$ 13.449,44;https://drive.google.com/drive/folders/1sgHED8yMSxdkT1LPFsPv17QC1gUSNd_k
601251176-18;Port Ville ;Pinheiros ;Mateus Grou, 340;82;94;3;1;4;2003;Ótimo apartamento em Pinheiros ;R$ 1.985,00;R$ 6.713,00;R$ 1.300.000,00;R$ 13.829,79;https://drive.google.com/drive/folders/1YOtoi24XxLVPq9ABLshyPCmqqubyJ9_1
601251112-1882;Cyrela Iconyc ;Vila Clementino ;Loefgren, 2503;144;158;4;3;2;2023;Maravilhoso apartamento na Vila Clementino ;R$ 2.170,00;R$ 10.611,00;R$ 2.900.000,00;R$ 18.354,43;https://drive.google.com/drive/folders/1pziE8tAubgnVpDfuG_BSfysbOKNA3m85
601181010-70;My One Fradique Coutinho ;Pinheiros ;Potiguar Medeiros, 67;809;25;1;0;0;2024;Lindo estúdio em Pinheiros ;R$ 731,00;R$ 0,00;R$ 490.000,00;R$ 19.600,00;https://drive.google.com/drive/folders/1t1DdrumC_sO9YEPQlCMw8d-5414HWMxF
601251165-119;Conde de Ipanema ;Aclimação ;Muniz de Sousa, 914;121;65;2;0;0;1984;Ótimo apartamento na Aclimação ;R$ 1.130,00;R$ 0,00;R$ 539.000,00;R$ 8.292,31;https://drive.google.com/drive/folders/1zhr9zqx1K1AKrEj60_-EXRwXNCkCUumU
601181047-69;Inspiratto;Pinheiros;Mourato Coelho, 716;213;141;4;3;2;2009;Maravilhoso apartamento em Pinheiros ;R$ 1.700,00;R$ 7.500,00;R$ 2.690.000,00;R$ 19.078,01;https://drive.google.com/drive/folders/12jSLAf1hu63gZAb19kzt5YwsNS8tNziY
601181047-60;Casa comercial;Perdizes;Engenheiro Francisco Azevedo, 722;x;171;4;1;2;1970;Maravilhosa casa em Perdizes ;R$ 0,00;R$ 6.359,00;R$ 2.650.000,00;R$ 15.497,08;https://drive.google.com/drive/folders/1mtVSpbVjrBqWAWHxOkSi9ohqwBkQVYzZ
601251043-62;Bardaune ;Vila Mariana ;José Antônio Coelho, 730;134;120;3;1;0;1973;Maravilhoso apartamento na Vila Mariana;R$ 943,00;R$ 822,00;R$ 730.000,00;R$ 6.083,33;https://drive.google.com/drive/folders/1HjoN2mqxdslMJCAl5rvVQ4_iOriIR2jN
601251044-13;Casa ;Jardim Marajoara;Manoel dos Reis Araújo, 247;x;665;4;4;10;1994;Maravilhosa casa no Jardim Marajoara ;x;R$ 2.781,00;R$ 2.200.000,00;R$ 3.308,27;https://drive.google.com/drive/folders/1hOsYxWtlLjjw6-hcc11aDg9lrVbTFB4L
601251024-76;Urbanity;Vila Cruzeiro ;Luís Correia de Melo, 92;3501 A ;102;2;2;2;2019;Maravilhoso duplex na Vila Cruzeiro;R$ 1.893,00;R$ 4.479,00;R$ 1.490.000,00;R$ 14.607,84;https://drive.google.com/drive/folders/1JZK8DgQ-CV9rxXrtj_-83qnVYVmGhIi7
601251321-56;Curupace;Mooca ;Curupace, 607;44;84;3;0;1;1970;Ótimo apartamento na Mooca ;R$ 730,00;R$ 0,00;R$ 374.000,00;R$ 4.452,38;https://drive.google.com/drive/folders/1sCeM576N4oIe3Vnmwdzp-GiZ4BSdOcLT
601251079-79;Creci ;Jardim Paulisa ;Pamplona, 1188;41;46;0;0;1;1998;Ótimo conjunto comercial no Jardim Paulista ;R$ 1.799,00;R$ 6.161,00;R$ 380.000,00;R$ 8.260,87;https://drive.google.com/drive/folders/1SK8f1Q48imj_CFelC6MlrMD9Qr9PlP66
601251165-120;Advanced Moema;Vila Uberabinha;Araguari, 536;82;124;3;3;3;2008;Ótimo apartamento na Vila Uberabinha ;R$ 2.700,00;R$ 8.000,00;R$ 2.150.000,00;R$ 17.338,71;https://drive.google.com/drive/folders/1B1Zmyc7MaLC2Mc1Usim3j6kXrloZOvdm
601181054-74;Casa/sobrado;Jordanópolis - São Bernardo do Campo/SP ;Raquiel da Cunha, 32;x;142;2;0;2;2009;Maravilhoso sobrado na Vila das Belezas;R$ 0,00;R$ 1.378,00;R$ 497.000,00;R$ 3.500,00;https://drive.google.com/drive/folders/1wMOKLKr0UNBloutvOAqwSfZC1sso-bDc
601331051-1;Greentown;Morumbi;Santo Américo, 38;casa 07;450;6;6;4;2025;Casa de condomínio no Morumbi ;R$ 4.500,00;R$ 10.000,00;R$ 4.200.000,00;R$ 9.333,33;https://drive.google.com/drive/folders/1foTrh7XT8arn9fop-1PVulL9BzQCtGlO
601251018-119;Milano ;Mirandópolis;Luís Góis, 1940;16;97;2;0;0;1951;Ótimo apartamento em Mirandópolis ;R$ 660,00;R$ 2.700,00;R$ 530.000,00;R$ 5.463,92;https://drive.google.com/drive/folders/19n2T1q8RGw5JUB5A8bPGVKOmQ4gKddZp
601251080-52;Royal Place ;Moema;Moema, 641;21;33;1;1;1;1996;Lindo apartamento em Moema ;R$ 960,48;R$ 1.564,40;R$ 459.000,00;R$ 13.909,09;https://drive.google.com/drive/folders/1wNFWmHab6tpJz16yJvOwPsU5ZdrispyM
601251163-20;Brooklin Advanced Home ;Brooklin;Padre Antônio José dos Santos, 313;33;70;2;1;1;1976;Ótimo apartamento no Brooklin ;R$ 1.218,00;R$ 2.818,00;R$ 820.000,00;R$ 11.714,29;https://drive.google.com/drive/folders/1XEwigXX9jebazkMxqZJ_hAe5LtfICCGT
601181054-71;Casa Comercial ;Alto de Pinheiros ;Rebouças, 2849;x;360;5;3;8;1978;Maravilhosa casa comercial no Alto de Pinheiros ;R$ 0,00;R$ 42.089,00;R$ 7.200.000,00;R$ 20.000,00;https://drive.google.com/drive/folders/1wZ5ZhSdOUlPc9N5B5dH-8qsJZ9JMVpnt
601251176-17;Turquesa;Mirandópolis;Quinze de Setembro, 50 ;33;114;3;3;3;2018;Maravilhoso apartamento em Mirandópolis ;R$ 2.112,00;R$ 10.580,00;R$ 1.900.000,00;R$ 16.666,67;https://drive.google.com/drive/folders/1o9Gv-w8vE7QxlV3cKwDbHA_ffr1PQyhX
601251084-278;Arq Vila Mariana ;Vila Mariana ;Jorge Tibiriçá, 50;510 A ;26;1;0;0;2023;Ótimo apartamento na Vila Mariana;R$ 467,00;R$ 1,00;R$ 545.000,00;R$ 20.961,54;https://drive.google.com/drive/folders/1z-SrDl3gi2xlfcXpsQyZXAJsn5Gur_ku
601251176-16;Planalto Paulista ;Moema ;Jurema, 533;24;82;2;0;1;1972;Maravilhoso apartamento em Moema ;R$ 827,00;R$ 5.108,00;R$ 655.000,00;R$ 7.987,80;https://drive.google.com/drive/folders/1pd9cUAFJAocJeJrPCJII9oN1WaYPzEC_
601251054-87;Maison Des Arts ;Alto da Lapa;Sales Júnior, 285 ;72;247;4;4;4;2003;Maravilhoso apartamento no Alto da Lapa ;R$ 2.976,00;R$ 18.601,00;R$ 2.980.000,00;R$ 12.064,78;https://drive.google.com/drive/folders/1Y_pgPvvnNiWP4CBa5-LEJF6Sj2_o-U4r
601251152-26;Casa;Jardim Prudência;Manuel Alonso Medina, 181;x;144;3;1;2;x;Maravilhosa casa no Jardim Prudência ;R$ 0,00;R$ 779,00;R$ 930.000,00;R$ 6.458,33;https://drive.google.com/drive/folders/1dqrUQcUQvcNFHk6cWWKENFJ3Up3lom87
601251099-183;You Prime Vila Mariana ;Vila Clementino ;Doutor Arantes, 77;1102;55;1;0;1;2019;Ótimo apartamento na Vila Clementino ;R$ 720,00;R$ 1.284,00;R$ 798.000,00;R$ 14.509,09;https://drive.google.com/drive/folders/1K138Pz2_EGIPN2QeQZJy-L26QJA2C-Yb
601251018-115;Beat;Chácara Klabin;Davi Hume, 113;114;47;1;0;1;2014;Lindo apartamento na Chácara Klabin;R$ 1.034,00;R$ 3.954,00;R$ 890.000,00;R$ 18.936,17;https://drive.google.com/drive/folders/1l7uAF8oHLTLMgahZ1RS_P04BSZUQBwq4
601251084-280;Versa Brooklin ;Brooklin ;Senador Milton Campos, 175;202;21;1;0;0;2024;Ótimo apartamento no Brooklin ;R$ 347,00;R$ 0,00;R$ 390.000,00;R$ 18.571,43;https://drive.google.com/drive/folders/1BiR9KTtPOFBcE5EQ2XXYV5ajT62CXQHF
601251018-118;Belvedere;Planalto Paulista;Ceci, 2001;72;113;3;1;2;1993;Maravilhoso apartamento no Planalto Paulista ;R$ 2.203,00;R$ 8.212,00;R$ 870.000,00;R$ 7.699,12;https://drive.google.com/drive/folders/1DIb7I0X66DrexJGztgQp0z3lo3VHGmbx
601181054-61;Vivenda Serena ;Vila Assunção - Santo André ;Jorge Moreira, 47;42;114;3;1;2;2000;Ótimo apartamento na Vila Assunção em Santo André - SP ;R$ 700,00;R$ 2.570,00;R$ 655.000,00;R$ 5.745,61;https://drive.google.com/drive/folders/1s8MHuF95JEbTbb_dIsVpCFCOmzfFN9hv
601181010-31;Terreno;Vila Albertina;Conchilia, quadra 2;Lotes 4 e 5 ;938;0;0;0;;Ótimo terreno na Vila Albertina;R$ 0,00;R$ 30.227,80;R$ 750.000,00;R$ 799,57;https://drive.google.com/drive/folders/1Zm0iD7nfqEHcGP87fpsZMCqLSqTEi82-
601251163-21;Solar das Petúnias ;Itaim Bibi ;Itacema, 331 ;73;126;3;1;2;1976;Maravilhoso apartamento no Itaim Bibi ;R$ 2.352,00;R$ 6.372,00;R$ 1.500.000,00;R$ 11.904,76;https://drive.google.com/drive/folders/1cOqHWrvszzzxhMkzOT_wdrSE3nrwWwvd
601251072-100;Solar de Itapoã;Vila Nova Conceição;Marcos Lopes, 105;14;85;3;0;1;1983;Ótimo apartamento na Vila Nova Conceição ;R$ 1.341,00;R$ 654,00;R$ 950.000,00;R$ 11.176,47;https://drive.google.com/drive/folders/1mMxF_NkMFDy0Er2JzH_7TsRmsjreDe6J
601251176-13;Cyrela Iconyc;Vila Clementino ;Loefgren, 2503;161;158;3;3;2;2023;Maravilhoso apartamento na Vila Clementino ;R$ 1.978,00;R$ 7.098,00;R$ 2.380.000,00;R$ 15.063,29;https://drive.google.com/drive/folders/1M2DqxMHJ2n03yP_fTxS1Re1Wq3cQXGxZ
601251165-72;Galeria do Bras;Brás ;Celso Garcia, 528;301;80;2;0;1;1969;Ótimo apartamento no Brás ;R$ 760,00;R$ 0,00;R$ 354.000,00;R$ 4.425,00;https://drive.google.com/drive/folders/1xxiTEBFjNR8kRto_wCyIadBf3VvUGuhI
601251047-1028;Reynolds;Itaim Bibi ;Pedroso Alvarenga, 505;21;46;1;0;1;1978;Ótimo apartamento no Itaim Bibi ;R$ 1.004,00;R$ 564,00;R$ 650.000,00;R$ 14.130,43;https://drive.google.com/drive/folders/1LDdehIr3sHq0eHG-jdALg09onMwdcA4F
601181054-72;Veneto;São Bernardo do Campo ;Armando Backx, 491;22;69;2;0;1;2002;Ótimo apartamento em São Bernardo do Campo ;R$ 500,00;R$ 1.506,00;R$ 340.000,00;R$ 4.927,54;https://drive.google.com/drive/folders/1AqYgHAaqRpIE4yICH0KLN7jceG2qG_zY
601181054-73;Villa da Vinci ;Vila Guarani/SP;Leonardo da Vinci, 1520;74;72;2;0;1;2019;Ótimo apartamento na Vila Guarani / SP ;R$ 1.287,00;R$ 602,00;R$ 457.000,00;R$ 6.347,22;https://drive.google.com/drive/folders/1tpB62SyaMlcYHykR8dEBcQPhJKh46JYj
601251084-232;AP Moema Carinás ;Indianópolis ;Carinás, 407;910;25;1;0;0;2024;Maravilhoso estúdio na Indianópolis ;R$ 730,00;R$ 0,00;R$ 440.000,00;R$ 17.600,00;https://drive.google.com/drive/folders/1LLVthdYfhMXxtvncEpFXFNqIKt7SdkuD
601251084-229;ID Jauaperi ;Moema ;Jauaperi, 229 ;908;21;1;0;0;2022;Lindo estúdio em Moema ;R$ 712,00;R$ 1.712,00;R$ 425.000,00;R$ 20.238,10;https://drive.google.com/drive/folders/1G4X9vLejx2b4kRyI7EHVZcIuNDwQpIb0
601351152-56;Noble Maison ;Vila Suzana ;Marcus Pereira, 150;41;92;3;1;2;1997;Maravilhoso apartamento na Vila Suzana ;R$ 1.733,00;R$ 4.345,00;R$ 495.000,00;R$ 5.380,43;https://drive.google.com/drive/folders/1SHL0WhWwerxGGfGNy_N4pIoF_Gfp0QS1
601351163-54;Casa;Vila Gumercindo ;Dom Lúcio de Sousa, 353;x;172;4;1;1;1991;Maravilhosa casa na Vila Gumercindo ;R$ 0,00;R$ 3.935,00;R$ 795.000,00;R$ 4.622,09;https://drive.google.com/drive/folders/1E2grgfiVfN9wPFz1CStk62eUBo1UJ2Ts
601251038-32;Core Health Pinheiros;Pinheiros ;Cristiano Viana, 287;611;36;0;0;1;2023;Ótimo conjunto comercial/sala em Pinheiros ;R$ 14.502,00;R$ 5.779,00;R$ 690.000,00;R$ 19.166,67;https://drive.google.com/drive/folders/15WEKOAWGj1nRWq333cWSNxYdlrLPdUUh
 601251099-163; Jardim Residencial Cavalheiro Salim Feres;Jardim Paulista ;Joaquim Eugênio de Lima, 1094;123;105;3;1;1;1973;Maravilhoso apartamento no Jardim Paulista ;R$ 1.459,00;R$ 2.360,00;R$ 1.190.000,00;R$ 11.333,33;https://drive.google.com/drive/folders/1iN6JoVGFLtQYPJTrUjizMxZE5_AyckKX
601251099-152;Window Moema ;Moema ;Açocê, 50;504;62;1;1;1;2023;Lindo apartamento em Moema ;R$ 1.071,00;R$ 0,00;R$ 1.295.000,00;R$ 20.887,10;https://drive.google.com/drive/folders/1oeTYdUvsh3ij0ZUVrm9rYPtXJszKbZxs
601251099-117;Privê Cidade Jardim;Vila Olímpia;Ponta delgada, nº 76;131;70;2;1;;1981;Aconchegante apartamento na Vila Olímpia;;R$ 485,00;R$ 895.000,00;R$ 12.785,71;https://drive.google.com/drive/folders/1mB1a4FgBZBhAEdStLKTH0ZApLPZckQA_?usp=sharing
601251099-184;Eliana ;Itaim Bibi ;Pedroso Alvarenga, 1004;101;67;2;0;1;1972;Maravilhoso apartamento no Itaim Bibi ;R$ 1.250,00;R$ 563,00;R$ 1.540.000,00;R$ 22.985,07;https://drive.google.com/drive/folders/1VNm0Pj11FT0b0b1Tlb-HlpIk3V6Sm94X
601251114-42;Verso Jardins ;Jardins;Alameda Santos, 957;1501 A ;35;1;1;1;2025;Lindo estúdio nos Jardins ;R$ 1.300,00;R$ 1.740,00;R$ 1.350.000,00;R$ 38.571,43;https://drive.google.com/drive/folders/1-QTi10LqBRT4P6oexQ9OLzQDnCzYMu_X
"601251176-14
";Jardim Iolanda ;Taboão da Serra/SP;Alameda Júpiter, 82;x;624;3;2;8;2007;Maravilhosa de condomínio em Taboão da Serra- SP ;R$ 0,00;R$ 8.330,00;R$ 3.199.000,00;R$ 5.126,60;https://drive.google.com/drive/folders/1cpyAP2y4t0QkVYnRR4hX-yfmb2jsSbzJ
601181003-107;Itajaí;Santo Amaro;Coronel Luís Barroso, 315;36;93;3;0;1;1973;Ótimo apartamento em Santo Amaro;R$ 550,00;R$ 257,00;R$ 640.000,00;R$ 6.881,72;https://drive.google.com/drive/folders/1Nta_v-uCVsBMLKaigg8wpxwh2grWj6rN
601251099-179;Asturias;Vila Mariana ;Doutor Tirso Martins, 100;cj 615;32;0;0;1;2005;Ótimo conjunto comercial na Vila Mariana ;R$ 791,00;R$ 3.060,00;R$ 290.000,00;R$ 9.062,50;https://drive.google.com/drive/folders/1nRWiXkwpMBskBqlkTQxF1AeEgr4k6BMR
601251010-370;Mosaico ;Pinheiros ;Fradique Coutinho, 1459;84 B;133;2;1;2;2012;Maravilhosa cobertura em Pinheiros ;R$ 1.315,00;R$ 7.512,00;R$ 1.890.000,00;R$ 14.210,53;https://drive.google.com/drive/folders/1MMFqmTyJBcJAv1gp26qcOBxrg0wcd8Ic
601351163-52;Charme da Villa ;Parque da Vila Prudente ;Fabiano Alves, 105;86;58;2;2;1;2022;Lindo apartamento no Parque da Vila Prudente ;R$ 780,00;R$ 2.194,00;R$ 523.700,00;R$ 9.029,31;https://drive.google.com/drive/folders/1vKHCjqBw7XKzonfDaxs9kH_MDX9WgsQT
601351249-3;Mont Blanc;Mooca ;Donatários, 39;11;109;3;1;2;1992;Maravilhoso apartamento na Mooca ;R$ 1.626,00;R$ 5.140,00;R$ 789.000,00;R$ 7.238,53;https://drive.google.com/drive/folders/1h5-hJL2HOb5wWJtryzi9tQfj0gxaer9x
601351230-34;Centro Empresarial Paulista ;Pinheiros ;Teodoro Sampaio, 744;cj 118;39;0;0;0;1977;Ótimo conjunto comercial em Pinheiros ;R$ 0,00;R$ 426,00;R$ 335.000,00;R$ 8.589,74;https://drive.google.com/drive/folders/1IWWSJq5wzYOwBLYiXu55MeIkfL9oiREX
601251223-5;Rio das Pedras ;Pinheiros ;João Moura, 1347;42;58;2;0;1;1984;Ótimo apartamento em Pinheiros ;R$ 1.536,00;R$ 2.000,00;R$ 660.000,00;R$ 11.379,31;https://drive.google.com/drive/folders/1BeLExYUU7Y_yc7AUFyfR7F9ZaQqx9BgH
601351189-77;Ponto comercial ;Butantã;Joaquim Guimarães, 50;x;408;0;0;4;1978;Maravilhoso ponto comercial no Butantã ;R$ 0,00;R$ 1.042,00;R$ 4.500.000,00;R$ 11.029,41;https://drive.google.com/drive/folders/17R2i5q23I-3ikbynH6IDsZpn2L5Uo77U
601351230-19;Clari Pinheiros ;Pinheiros ;João Moura, 502;234;190;3;3;2;2024;Maravilhoso apartamento em Pinheiros ;R$ 3.000,00;R$ 13.710,00;R$ 3.700.000,00;R$ 19.473,68;https://drive.google.com/drive/folders/1_FjEbTc11zA23zejYHl4vwQH1nrbrvmN
601351230-23;São Paulo ;Itaim Bibi ;Tabapuã, 314;61;104;3;1;1;1972;Maravilhoso apartamento no Itaim Bibi ;R$ 1.389,68;R$ 265,98;R$ 899.000,00;R$ 8.644,23;https://drive.google.com/drive/folders/1z42-fBpoetVb2b0HNtasiMQh0TKqQO2r
601251064-64;Scala ;Santa Cecília;Doutor Albuquerque Lins, 1304;111;382;4;3;6;1985;Maravilhosa cobertura duplex na Santa Cecília;R$ 8.349,00;R$ 31.626,00;R$ 4.850.000,00;R$ 12.696,34;https://drive.google.com/drive/folders/189zMoS6RtTr9tpe4eGPQKOLBvko37G6s
602011024-34;Dom Ipiranga ;Ipiranga;Costa Aguiar, 1831;81;143;3;3;3;2023;Maravilhoso apartamento no Ipiranga ;R$ 1.500,00;R$ 18.000,00;R$ 2.900.000,00;R$ 20.279,72;https://drive.google.com/drive/folders/10JaRg5b7oADyKJRIwisXp-aEwF4UPS-5
602011024-33;May Fair ;Vila Andrade ;Sophia Ambuba, 56;42;92;3;1;2;1994;Ótimo apartamento na Vila Andrade ;R$ 2.025,00;R$ 3.000,00;R$ 490.000,00;R$ 5.326,09;https://drive.google.com/drive/folders/1F7_9-orMIZEAyyQTnU3l_XGsFEnxjz2y
 601251088-65;Casa/sobrado;Moema ;Lydia Simões Cabral, 49;x;110;4;1;0;1970;Maravilhoso sobrado em Moema ;R$ 0,00;R$ 2.013,00;R$ 800.000,00;R$ 7.272,73;https://drive.google.com/drive/folders/1Ltb0_jlnjqQaPbB33pslW_eTsIdxa4aC
 601351163-40;Pienza ;Vila Gomes Cardim ;Cantagalo, 2257;23;81;3;1;2;2024;Ótimo apartamento na Vila Gomes Cardim ;R$ 1.430,00;R$ 0,00;R$ 1.160.000,00;R$ 14.320,99;https://drive.google.com/drive/folders/1M2orXJ_kpzBw51SSWPk_7ddjxCOblCJ2
601251176-15;Barão de Mauá;Vila Mariana ;Afonso Celso, 1629;63 e 64;45;0;0;1;1994;Ótimo conjunto comercial na Vila Mariana ;R$ 1.066,00;R$ 4.534,00;R$ 460.000,00;R$ 10.222,22;https://drive.google.com/drive/folders/1noLlCZg02bb2Ml-RHH4TTO74iVdekvMH
601251072-99;Brooklin Bricks;Brooklin;Getúlio Soares da Rocha, 152;51;105;3;3;2;2022;Maravilhoso apartamento no Brooklin ;R$ 2.660,00;R$ 1.700,00;R$ 1.740.000,00;R$ 16.571,43;https://drive.google.com/drive/folders/1YuNEuOGmVQ0unkT_rD-9-GuYndCjmMza
601251218-28;Elev Vila Prudente ;Vila Prudente ;Professor Luiz Ignácio Anhaia Mello, 1655;1003;43;2;0;0;2021;Ótimo apartamento na Vila Prudente ;R$ 263,00;R$ 0,00;R$ 410.000,00;R$ 9.534,88;https://drive.google.com/drive/folders/1e2ZinCLA1SCyFXO6yz7G3rnOyrq9o_yJ
